TrumpGen,TrumpAbort,SCGen,SCAbort,BidenGen,BidenAbort,religion,bornagain,CRS1,CRS2,CRS3,CRS4,CRS5,AbortionWrong,AbortionMurder,AbortionRape,AbortionHealth,AbortionDefect,AbortionWant,AbortionAll,AbortionWait,AbortionUltrasound,PolAffiliate,IdeologySocial,IdeologyEconomy,IdeologySecurity,vote2020,Acheck3,abortion_score_5pt,abortion_group
3,2,3,2,3,2,2,2,2,3,3,3,2,4,4,6,4,5,4,4,4,4,4,4,4,4,8,1,3.2836565096952905,neutral
3,2,3,2,3,2,2,2,2,3,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,8,1,3.0,pro-life
4,4,4,4,4,4,1,0,2,4,1,1,2,6,6,6,6,4,4,6,6,6,3,2,2,2,8,1,3.078793474915358,pro-life
4,3,4,3,3,3,2,2,2,3,1,2,3,2,2,7,6,6,6,6,2,2,2,2,2,2,4,1,4.438719606032625,pro-choice
2,2,4,4,2,2,11,0,2,4,4,3,3,3,3,7,6,6,5,2,6,7,4,2,2,2,8,1,3.559433671899045,neutral
1,1,2,1,2,1,2,2,1,2,1,1,1,1,1,7,7,7,7,7,4,4,6,5,5,5,8,5,4.73961218836565,pro-choice
0,0,0,0,0,0,3,0,3,5,3,2,3,2,2,6,6,2,6,6,2,2,4,2,2,2,8,1,4.041797476146506,pro-choice
3,3,4,4,2,2,9,0,1,2,1,1,3,4,4,5,5,5,4,5,5,5,3,3,4,3,8,1,3.262726992920898,neutral
2,2,4,2,3,2,1,0,3,5,4,3,3,5,2,6,6,6,6,6,4,4,5,4,4,2,8,1,3.9621421975992606,pro-choice
2,2,4,4,2,2,9,0,1,1,1,1,2,4,4,4,4,4,4,4,4,4,3,4,4,4,8,1,3.0,pro-life
4,3,2,1,1,1,9,0,3,2,1,3,1,6,5,6,5,4,1,3,4,4,2,2,2,2,8,1,2.7950138504155118,pro-life
3,3,3,3,3,3,7,0,2,1,2,2,1,7,1,7,7,7,7,7,4,7,5,4,3,5,8,5,4.22511542012927,pro-choice
5,5,2,2,1,1,2,3,3,3,2,2,3,4,3,6,6,5,2,2,4,4,3,2,1,3,8,2,3.288950446291166,neutral
3,0,4,0,3,0,1,0,2,3,1,1,2,4,4,7,7,4,1,1,5,7,3,4,3,3,8,1,3.0309018159433667,pro-life
3,2,4,2,3,3,1,0,2,5,3,3,3,5,4,7,6,5,3,1,6,6,4,4,3,3,8,2,3.0847029855340096,pro-life
0,0,4,4,0,0,11,0,2,3,1,2,1,4,3,5,5,4,4,4,4,4,4,4,4,4,8,2,3.2957217605417046,neutral
1,1,1,1,3,3,9,0,2,1,1,1,1,1,1,7,7,7,7,7,1,4,7,7,7,6,8,1,4.880701754385964,pro-choice
1,1,4,2,4,4,3,0,1,3,1,1,2,1,1,7,7,7,7,7,7,1,6,6,6,6,1,2,4.717820867959371,pro-choice
2,2,3,1,3,2,1,0,4,5,3,2,4,2,2,7,6,3,3,3,4,5,3,4,4,4,8,1,3.5705140043090178,neutral
2,2,4,3,2,2,2,3,2,4,3,2,3,6,4,7,6,2,5,6,4,2,4,7,1,3,8,1,3.5405971068020925,neutral
1,1,4,4,1,1,2,2,3,5,2,2,3,6,6,5,6,4,2,2,6,6,3,4,2,3,8,1,2.551615881809787,pro-life
2,2,4,3,2,2,2,1,5,5,5,4,5,3,5,7,6,3,2,3,3,5,3,4,4,2,8,1,3.2180363188673433,neutral
